#  Angle(degrees)+100*PlotColumn    LinearPolarization
# 1, 2, 5, 10, 15, 30 keV  for plot columns 0 to 5
# Ki Figure 4a (top) - Column
4.916416775347571 0.005417319749216665
10.284449000591394 0.1372257053291539
12.110593867832591 0.22606359158083333
13.992288213234502 0.32726153157187654
15.641258550609678 0.42305194805194835
16.824780871931424 0.5080273175100765
19.16971186881031 0.6136027765338113
21.897208937416877 0.7127407075682941
25.77660581390181 0.8047973578145995
32.34566532142149 0.8858516874974558
50.07792238869793 0.9804482351504298
58.543822078636836 0.9827657452265606
66.24214506209766 0.9908419167039859
106.16921703592537 -0.017274966412897053
113.61363515937983 -0.0015908073118102717
121.37367531783822 0.18615091804747008
123.71285676681832 0.2749888042991495
126.05159594288311 0.3625391849529782
128.38900830020202 0.44622704881325603
131.11230377611332 0.5331336766681597
134.6054194883821 0.6208128078817736
138.86755934576087 0.7069469323779671
145.0542497940333 0.7950123152709363
153.1579400283365 0.8630277246264709
161.14794019423687 0.9201158183828843
170.1143504100532 0.9393081056874162
178.5847420544709 0.9547021943573669
186.66791436668467 0.9629876527413475
205.19311760411688 0.005548996458087707
212.87910608738457 -0.022281932626760037
217.07843827664828 -0.11898790864308073
223.5847553401395 -0.22058380490982343
231.28306492139075 -0.212546648753545
237.0850958728031 -0.12413793103448256
241.58628424089727 -0.014184952978055998
247.15942526924619 0.07997768856759047
251.03615271277812 0.1642633228840129
255.60810474731898 0.2561912225705332
260.71757001036787 0.344698035954194
266.90505233776486 0.43506866696521884
274.6287993127502 0.5171569026584704
283.11308147331374 0.5729878272198023
289.6096168384317 0.6029348730087649
308.3122643347702 0.0020376175548593167
315.9992624511576 -0.022854157336915648
321.354627242986 -0.11461038961038916
325.1724155023707 -0.2019032691446483
328.98914230675877 -0.292286162113748
333.19144263869845 -0.3803515450067172
339.70298656391583 -0.4667314660261366
348.1591642910441 -0.4927156699100268
356.63162570278075 -0.47129625860033353
365.108791290071 -0.4361824695680492
373.58571563758926 -0.4017709563164107
382.0595842813292 -0.3762549362862839
387.8302808668036 -0.3790640394088667
406.81818290589734 0.010464926922607587
415.28039162732495 0.0020376175548593167
421.7981675799851 -0.06620017913121345
426.0013524577554 -0.1516905508284816
429.8170178071467 -0.2451634572324224
433.6308256102938 -0.34404388714733525
437.44728705093274 -0.43519928347514525
442.03512300131706 -0.5210575139146565
448.92996246138216 -0.6117514147294707
457.3751637788854 -0.66968916663274
465.8327889446455 -0.6914597158327562
474.29523890584505 -0.6991847494198589
482.75973940510664 -0.7009404388714731
490.12453117239613 -0.7036993794382953
506.0923295308869 0.015029719496804539
514.5651125956529 0.03738549851402517
523.0343574770966 0.04944123274844303
531.4814284028326 -0.003053881854822027
537.4151628675352 -0.09130653828929636
542.1906046704019 -0.1910882221227046
546.01051583978 -0.2722010747872814
550.2125508079705 -0.3610389610389608
554.8004688947535 -0.4466580832960141
560.1575548653439 -0.5334037729511865
567.4392416851138 -0.6180718967552821
575.8832368037571 -0.6795210275617798
584.3337856028725 -0.7218916663274029
589.8674480297275  -0.7426556202418269
