#   Angle      Pi(1keV)  Pi(2keV)   Pi(5keV)  Pi(10keV)  Pi(15keV)  Pi(30keV)
 80.000000   0.990842   0.956153   0.552502  -0.382457  -0.700368  -0.700162
 81.000000   0.990842   0.957178   0.559083  -0.379445  -0.700575  -0.705176
 82.000000   0.990842   0.958203   0.565663  -0.376434  -0.700783  -0.710190
 83.000000   0.990842   0.959228   0.572244  -0.376713  -0.700940  -0.715204
 84.000000   0.990842   0.960253   0.577076  -0.377200  -0.700940  -0.720218
 85.000000   0.990842   0.961278   0.581686  -0.377686  -0.700940  -0.724392
 86.000000   0.990842   0.962303   0.586296  -0.378173  -0.700940  -0.728144
 87.000000   0.990842   0.962988   0.590905  -0.378660  -0.700940  -0.731896
 88.000000   0.990842   0.962988   0.595515  -0.379064  -0.700940  -0.735648
 89.000000   0.990842   0.962988   0.600125  -0.379064  -0.700940  -0.739401
 90.000000   0.990842   0.962988   0.602935  -0.379064  -0.700940  -0.742656
