#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.5e+06           10         2.07    0.0178027    -0.343837   5.0625e+30       206000  -0.00612124  0.174533
     1.5e+06           15         2.07    0.0167172    -0.342866   5.0625e+30       206000  -0.00573177  0.261799
     1.5e+06           20         2.07    0.0180261     -0.33319   5.0625e+30       206000   -0.0060061  0.349066
     1.5e+06           25         2.07    0.0186796    -0.322523   5.0625e+30       206000  -0.00602462  0.436332
     1.5e+06           30         2.07    0.0167347     -0.31668   5.0625e+30       206000  -0.00529956  0.523599
     1.5e+06           35         2.07    0.0169951    -0.315884   5.0625e+30       206000  -0.00536849  0.610865
     1.5e+06           40         2.07    0.0154835    -0.310197   5.0625e+30       206000  -0.00480295  0.698132
     1.5e+06           45         2.07    0.0126846     -0.31066   5.0625e+30       206000  -0.00394061  0.785398
     1.5e+06            5         2.07    0.0157224    -0.231545   5.0625e+30       206000  -0.00364045  0.0872665
     1.5e+06           50         2.07    0.0127758    -0.314858   5.0625e+30       206000  -0.00402257  0.872665
     1.5e+06           55         2.07    0.0117182    -0.308922   5.0625e+30       206000  -0.00362003  0.959931
     1.5e+06           60         2.07    0.0101257    -0.319828   5.0625e+30       206000  -0.00323847    1.0472
     1.5e+06           65         2.07   0.00813753    -0.297774   5.0625e+30       206000  -0.00242314   1.13446
     1.5e+06           70         2.07   0.00849724    -0.305596   5.0625e+30       206000  -0.00259672   1.22173
     1.5e+06           75         2.07   0.00721192    -0.319271   5.0625e+30       206000  -0.00230255     1.309
     1.5e+06           80         2.07   0.00659411    -0.311703   5.0625e+30       206000   -0.0020554   1.39626
     1.5e+06           85         2.07    0.0049651    -0.279556   5.0625e+30       206000  -0.00138802   1.48353
     1.5e+06           90         2.07   0.00333146    -0.282785   5.0625e+30       206000 -0.000942088    1.5708
     1.5e+06           10        2.484    0.0233272    -0.289016   5.0625e+30       206000  -0.00674194  0.174533
     1.5e+06           15        2.484    0.0217348    -0.287486   5.0625e+30       206000  -0.00624847  0.261799
     1.5e+06           20        2.484    0.0230722    -0.280637   5.0625e+30       206000   -0.0064749  0.349066
     1.5e+06           25        2.484    0.0235261    -0.271884   5.0625e+30       206000  -0.00639637  0.436332
     1.5e+06           30        2.484    0.0207997    -0.266038   5.0625e+30       206000  -0.00553351  0.523599
     1.5e+06           35        2.484    0.0209221    -0.263867   5.0625e+30       206000  -0.00552067  0.610865
     1.5e+06           40        2.484    0.0189549    -0.259695   5.0625e+30       206000  -0.00492251  0.698132
     1.5e+06           45        2.484    0.0154324    -0.258696   5.0625e+30       206000  -0.00399229  0.785398
     1.5e+06            5        2.484    0.0206169    -0.201322   5.0625e+30       206000  -0.00415064  0.0872665
     1.5e+06           50        2.484     0.015442    -0.261871   5.0625e+30       206000  -0.00404382  0.872665
     1.5e+06           55        2.484     0.014067    -0.257149   5.0625e+30       206000  -0.00361733  0.959931
     1.5e+06           60        2.484    0.0120678    -0.265259   5.0625e+30       206000  -0.00320108    1.0472
     1.5e+06           65        2.484   0.00964046    -0.248429   5.0625e+30       206000  -0.00239497   1.13446
     1.5e+06           70        2.484   0.00997381    -0.254667   5.0625e+30       206000     -0.00254   1.22173
     1.5e+06           75        2.484   0.00839107    -0.266165   5.0625e+30       206000  -0.00223341     1.309
     1.5e+06           80        2.484   0.00763093    -0.260972   5.0625e+30       206000  -0.00199146   1.39626
     1.5e+06           85        2.484   0.00573206    -0.236059   5.0625e+30       206000   -0.0013531   1.48353
     1.5e+06           90        2.484   0.00384472    -0.240808   5.0625e+30       206000 -0.000925838    1.5708
     1.5e+06           10        3.105    0.0224783    -0.165804   5.0625e+30       206000  -0.00372698  0.174533
     1.5e+06           15        3.105    0.0216492    -0.165026   5.0625e+30       206000  -0.00357268  0.261799
     1.5e+06           20        3.105    0.0245509    -0.162168   5.0625e+30       206000  -0.00398136  0.349066
     1.5e+06           25        3.105    0.0267917    -0.157128   5.0625e+30       206000  -0.00420974  0.436332
     1.5e+06           30        3.105    0.0248964    -0.153843   5.0625e+30       206000  -0.00383013  0.523599
     1.5e+06           35        3.105    0.0254651    -0.151953   5.0625e+30       206000  -0.00386949  0.610865
     1.5e+06           40        3.105     0.022954    -0.149868   5.0625e+30       206000  -0.00344008  0.698132
     1.5e+06           45        3.105    0.0185944    -0.148511   5.0625e+30       206000  -0.00276148  0.785398
     1.5e+06            5        3.105    0.0198032     -0.12137   5.0625e+30       206000  -0.00240352  0.0872665
     1.5e+06           50        3.105    0.0186234    -0.150595   5.0625e+30       206000  -0.00280459  0.872665
     1.5e+06           55        3.105    0.0170864    -0.148104   5.0625e+30       206000  -0.00253055  0.959931
     1.5e+06           60        3.105    0.0147783    -0.151718   5.0625e+30       206000  -0.00224215    1.0472
     1.5e+06           65        3.105     0.011826    -0.143899   5.0625e+30       206000  -0.00170175   1.13446
     1.5e+06           70        3.105    0.0120966    -0.146927   5.0625e+30       206000  -0.00177732   1.22173
     1.5e+06           75        3.105    0.0100263    -0.153521   5.0625e+30       206000  -0.00153925     1.309
     1.5e+06           80        3.105   0.00897156    -0.151519   5.0625e+30       206000  -0.00135936   1.39626
     1.5e+06           85        3.105    0.0065731    -0.138788   5.0625e+30       206000 -0.000912267   1.48353
     1.5e+06           90        3.105   0.00433668    -0.142747   5.0625e+30       206000 -0.000619049    1.5708
     1.5e+06           10        3.726    0.0267335   -0.0929401   5.0625e+30       206000  -0.00248461  0.174533
     1.5e+06           15        3.726    0.0255474   -0.0924091   5.0625e+30       206000  -0.00236081  0.261799
     1.5e+06           20        3.726    0.0285282   -0.0907291   5.0625e+30       206000  -0.00258834  0.349066
     1.5e+06           25        3.726    0.0306439   -0.0881323   5.0625e+30       206000  -0.00270072  0.436332
     1.5e+06           30        3.726    0.0280991   -0.0865283   5.0625e+30       206000  -0.00243137  0.523599
     1.5e+06           35        3.726    0.0284055   -0.0851059   5.0625e+30       206000  -0.00241747  0.610865
     1.5e+06           40        3.726    0.0253854   -0.0842045   5.0625e+30       206000  -0.00213756  0.698132
     1.5e+06           45        3.726     0.020372   -0.0831864   5.0625e+30       206000  -0.00169467  0.785398
     1.5e+06            5        3.726    0.0235697   -0.0701518   5.0625e+30       206000  -0.00165345  0.0872665
     1.5e+06           50        3.726    0.0202379   -0.0843561   5.0625e+30       206000  -0.00170719  0.872665
     1.5e+06           55        3.726     0.018441   -0.0831215   5.0625e+30       206000  -0.00153285  0.959931
     1.5e+06           60        3.726    0.0158424   -0.0846759   5.0625e+30       206000  -0.00134147    1.0472
     1.5e+06           65        3.726    0.0126331   -0.0812355   5.0625e+30       206000  -0.00102626   1.13446
     1.5e+06           70        3.726    0.0129268   -0.0826961   5.0625e+30       206000  -0.00106899   1.22173
     1.5e+06           75        3.726    0.0107362   -0.0862955   5.0625e+30       206000 -0.000926483     1.309
     1.5e+06           80        3.726   0.00961463   -0.0856986   5.0625e+30       206000 -0.000823961   1.39626
     1.5e+06           85        3.726   0.00703918   -0.0796007   5.0625e+30       206000 -0.000560324   1.48353
     1.5e+06           90        3.726   0.00464001   -0.0824319   5.0625e+30       206000 -0.000382485    1.5708
     1.5e+06           10         4.14    0.0268256   -0.0364795   5.0625e+30       206000 -0.000978586  0.174533
     1.5e+06           15         4.14    0.0256125   -0.0360155   5.0625e+30       206000 -0.000922448  0.261799
     1.5e+06           20         4.14    0.0285502   -0.0353131   5.0625e+30       206000  -0.00100819  0.349066
     1.5e+06           25         4.14    0.0306117   -0.0342625   5.0625e+30       206000  -0.00104883  0.436332
     1.5e+06           30         4.14    0.0281116   -0.0337025   5.0625e+30       206000 -0.000947432  0.523599
     1.5e+06           35         4.14    0.0287526   -0.0331054   5.0625e+30       206000 -0.000951866  0.610865
     1.5e+06           40         4.14    0.0260875   -0.0328389   5.0625e+30       206000 -0.000856684  0.698132
     1.5e+06           45         4.14    0.0212716   -0.0323895   5.0625e+30       206000 -0.000688977  0.785398
     1.5e+06            5         4.14    0.0236529   -0.0277889   5.0625e+30       206000 -0.000657289  0.0872665
     1.5e+06           50         4.14    0.0213148   -0.0329272   5.0625e+30       206000 -0.000701836  0.872665
     1.5e+06           55         4.14    0.0194417   -0.0324811   5.0625e+30       206000  -0.00063149  0.959931
     1.5e+06           60         4.14    0.0166965   -0.0329395   5.0625e+30       206000 -0.000549972    1.0472
     1.5e+06           65         4.14    0.0133034   -0.0318442   5.0625e+30       206000 -0.000423637   1.13446
     1.5e+06           70         4.14    0.0135761   -0.0323575   5.0625e+30       206000 -0.000439289   1.22173
     1.5e+06           75         4.14    0.0112418   -0.0337221   5.0625e+30       206000 -0.000379098     1.309
     1.5e+06           80         4.14    0.0100348   -0.0336081   5.0625e+30       206000 -0.000337252   1.39626
     1.5e+06           85         4.14   0.00730997   -0.0314727   5.0625e+30       206000 -0.000230064   1.48353
     1.5e+06           90         4.14   0.00480233   -0.0326894   5.0625e+30       206000 -0.000156985    1.5708
     1.5e+06           10        4.554    0.0268192    0.0364953   5.0625e+30       206000  0.000978776  0.174533
     1.5e+06           15        4.554    0.0255289    0.0356598   5.0625e+30       206000  0.000910354  0.261799
     1.5e+06           20        4.554    0.0282859    0.0350439   5.0625e+30       206000  0.000991249  0.349066
     1.5e+06           25        4.554    0.0301415    0.0340624   5.0625e+30       206000   0.00102669  0.436332
     1.5e+06           30        4.554    0.0276575    0.0336004   5.0625e+30       206000  0.000929305  0.523599
