#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.3e+06           10         2.07    0.0164282    0.0342551   3.2955e+30       206000  0.000562749  0.174533
     1.3e+06           15         2.07    0.0159836    0.0546045   3.2955e+30       206000  0.000872779  0.261799
     1.3e+06           20         2.07    0.0157815    0.0872967   3.2955e+30       206000   0.00137767  0.349066
     1.3e+06           25         2.07    0.0155876     0.114076   3.2955e+30       206000   0.00177817  0.436332
     1.3e+06           30         2.07    0.0159593     0.136529   3.2955e+30       206000   0.00217892  0.523599
     1.3e+06           35         2.07    0.0149419     0.163097   3.2955e+30       206000   0.00243699  0.610865
     1.3e+06           40         2.07    0.0135299     0.203008   3.2955e+30       206000   0.00274668  0.698132
     1.3e+06           45         2.07    0.0128626     0.225654   3.2955e+30       206000   0.00290249  0.785398
     1.3e+06            5         2.07    0.0157224    0.0103755   3.2955e+30       206000  0.000163129  0.0872665
     1.3e+06           50         2.07    0.0109503      0.26742   3.2955e+30       206000   0.00292833  0.872665
     1.3e+06           55         2.07   0.00998821     0.308394   3.2955e+30       206000    0.0030803  0.959931
     1.3e+06           60         2.07   0.00966152     0.333685   3.2955e+30       206000    0.0032239    1.0472
     1.3e+06           65         2.07   0.00820537     0.335018   3.2955e+30       206000   0.00274894   1.13446
     1.3e+06           70         2.07   0.00742647     0.371381   3.2955e+30       206000   0.00275805   1.22173
     1.3e+06           75         2.07    0.0067517     0.366148   3.2955e+30       206000   0.00247212     1.309
     1.3e+06           80         2.07   0.00494867     0.380209   3.2955e+30       206000   0.00188153   1.39626
     1.3e+06           85         2.07   0.00493347     0.371759   3.2955e+30       206000   0.00183406   1.48353
     1.3e+06           90         2.07   0.00442553     0.341896   3.2955e+30       206000   0.00151307    1.5708
     1.3e+06           10        2.484    0.0215291    0.0330287   3.2955e+30       206000   0.00071108  0.174533
     1.3e+06           15        2.484    0.0208029    0.0497921   3.2955e+30       206000   0.00103582  0.261799
     1.3e+06           20        2.484    0.0202464    0.0768236   3.2955e+30       206000    0.0015554  0.349066
     1.3e+06           25        2.484    0.0196909    0.0975146   3.2955e+30       206000   0.00192015  0.436332
     1.3e+06           30        2.484    0.0198609      0.11253   3.2955e+30       206000   0.00223495  0.523599
     1.3e+06           35        2.484    0.0184325     0.130672   3.2955e+30       206000   0.00240862  0.610865
     1.3e+06           40        2.484    0.0165853     0.159899   3.2955e+30       206000   0.00265197  0.698132
     1.3e+06           45        2.484    0.0156757     0.176741   3.2955e+30       206000   0.00277054  0.785398
     1.3e+06            5        2.484    0.0206169    0.0111829   3.2955e+30       206000  0.000230556  0.0872665
     1.3e+06           50        2.484    0.0132552     0.208916   3.2955e+30       206000   0.00276921  0.872665
     1.3e+06           55        2.484    0.0120199     0.242855   3.2955e+30       206000    0.0029191  0.959931
     1.3e+06           60        2.484    0.0115478     0.264241   3.2955e+30       206000   0.00305139    1.0472
     1.3e+06           65        2.484   0.00974208      0.26579   3.2955e+30       206000   0.00258935   1.13446
     1.3e+06           70        2.484   0.00874764     0.295994   3.2955e+30       206000   0.00258925   1.22173
     1.3e+06           75        2.484    0.0079022     0.293174   3.2955e+30       206000   0.00231672     1.309
     1.3e+06           80        2.484   0.00573616     0.304216   3.2955e+30       206000   0.00174503   1.39626
     1.3e+06           85        2.484     0.005698     0.297499   3.2955e+30       206000   0.00169515   1.48353
     1.3e+06           90        2.484   0.00510826     0.273313   3.2955e+30       206000   0.00139616    1.5708
     1.3e+06           10        3.105    0.0207332    0.0311086   3.2955e+30       206000  0.000644983  0.174533
     1.3e+06           15        3.105    0.0206293    0.0443659   3.2955e+30       206000  0.000915238  0.261799
     1.3e+06           20        3.105    0.0213343    0.0617606   3.2955e+30       206000   0.00131762  0.349066
     1.3e+06           25        3.105    0.0221406    0.0731756   3.2955e+30       206000   0.00162015  0.436332
     1.3e+06           30        3.105    0.0236688    0.0757454   3.2955e+30       206000   0.00179281  0.523599
     1.3e+06           35        3.105    0.0224031    0.0819043   3.2955e+30       206000   0.00183491  0.610865
     1.3e+06           40        3.105    0.0201093    0.0955515   3.2955e+30       206000   0.00192147  0.698132
     1.3e+06           45        3.105     0.018908     0.104455   3.2955e+30       206000   0.00197505  0.785398
     1.3e+06            5        3.105    0.0198032    0.0120576   3.2955e+30       206000  0.000238779  0.0872665
     1.3e+06           50        3.105    0.0159674     0.124043   3.2955e+30       206000   0.00198065  0.872665
     1.3e+06           55        3.105    0.0145572     0.146944   3.2955e+30       206000    0.0021391  0.959931
     1.3e+06           60        3.105    0.0140986     0.162195   3.2955e+30       206000   0.00228673    1.0472
     1.3e+06           65        3.105    0.0119516     0.164657   3.2955e+30       206000   0.00196792   1.13446
     1.3e+06           70        3.105    0.0106726     0.184821   3.2955e+30       206000   0.00197251   1.22173
     1.3e+06           75        3.105   0.00953723     0.184781   3.2955e+30       206000    0.0017623     1.309
     1.3e+06           80        3.105    0.0068102     0.191176   3.2955e+30       206000   0.00130195   1.39626
     1.3e+06           85        3.105   0.00664478     0.186117   3.2955e+30       206000    0.0012367   1.48353
     1.3e+06           90        3.105    0.0058159     0.169858   3.2955e+30       206000  0.000987877    1.5708
     1.3e+06           10        3.726    0.0246616    0.0285223   3.2955e+30       206000  0.000703404  0.174533
     1.3e+06           15        3.726    0.0243692    0.0370942   3.2955e+30       206000  0.000903954  0.261799
     1.3e+06           20        3.726     0.024847    0.0459738   3.2955e+30       206000   0.00114231  0.349066
     1.3e+06           25        3.726    0.0253998    0.0478142   3.2955e+30       206000   0.00121447  0.436332
     1.3e+06           30        3.726    0.0267484    0.0386467   3.2955e+30       206000   0.00103374  0.523599
     1.3e+06           35        3.726    0.0250596     0.032204   3.2955e+30       206000   0.00080702  0.610865
     1.3e+06           40        3.726    0.0222846    0.0308336   3.2955e+30       206000  0.000687112  0.698132
     1.3e+06           45        3.726    0.0207676    0.0320272   3.2955e+30       206000  0.000665129  0.785398
     1.3e+06            5        3.726    0.0235697    0.0126717   3.2955e+30       206000  0.000298669  0.0872665
     1.3e+06           50        3.726    0.0173792    0.0398798   3.2955e+30       206000  0.000693078  0.872665
     1.3e+06           55        3.726    0.0157487    0.0506884   3.2955e+30       206000  0.000798275  0.959931
     1.3e+06           60        3.726    0.0151532    0.0599648   3.2955e+30       206000  0.000908659    1.0472
     1.3e+06           65        3.726      0.01278     0.063537   3.2955e+30       206000  0.000812002   1.13446
     1.3e+06           70        3.726    0.0113958    0.0735038   3.2955e+30       206000  0.000837635   1.22173
     1.3e+06           75        3.726    0.0101985    0.0745023   3.2955e+30       206000  0.000759816     1.309
     1.3e+06           80        3.726   0.00729873    0.0763976   3.2955e+30       206000  0.000557606   1.39626
     1.3e+06           85        3.726   0.00712226    0.0721968   3.2955e+30       206000  0.000514204   1.48353
     1.3e+06           90        3.726    0.0062259    0.0627869   3.2955e+30       206000  0.000390905    1.5708
     1.3e+06           10         4.14    0.0247469    0.0270834   3.2955e+30       206000  0.000670232  0.174533
     1.3e+06           15         4.14    0.0244342    0.0324941   3.2955e+30       206000  0.000793967  0.261799
     1.3e+06           20         4.14    0.0248726    0.0354389   3.2955e+30       206000  0.000881458  0.349066
     1.3e+06           25         4.14    0.0253818    0.0306784   3.2955e+30       206000  0.000778673  0.436332
     1.3e+06           30         4.14    0.0267514    0.0134664   3.2955e+30       206000  0.000360245  0.523599
     1.3e+06           35         4.14    0.0252713  -0.00161148   3.2955e+30       206000 -4.07241e-05  0.610865
     1.3e+06           40         4.14    0.0228187   -0.0130221   3.2955e+30       206000 -0.000297148  0.698132
     1.3e+06           45         4.14    0.0215982   -0.0169179   3.2955e+30       206000 -0.000365396  0.785398
     1.3e+06            5         4.14    0.0236529    0.0129614   3.2955e+30       206000  0.000306575  0.0872665
     1.3e+06           50         4.14     0.018291    -0.016574   3.2955e+30       206000 -0.000303154  0.872665
     1.3e+06           55         4.14     0.016605   -0.0143651   3.2955e+30       206000 -0.000238533  0.959931
     1.3e+06           60         4.14    0.0159726  -0.00910791   3.2955e+30       206000 -0.000145477    1.0472
     1.3e+06           65         4.14     0.013463  -0.00489464   3.2955e+30       206000 -6.58967e-05   1.13446
     1.3e+06           70         4.14    0.0119825  -0.00182789   3.2955e+30       206000 -2.19026e-05   1.22173
     1.3e+06           75         4.14    0.0107003 -0.000936069   3.2955e+30       206000 -1.00162e-05     1.309
     1.3e+06           80         4.14   0.00763263  -0.00188769   3.2955e+30       206000  -1.4408e-05   1.39626
     1.3e+06           85         4.14    0.0074213  -0.00589758   3.2955e+30       206000 -4.37678e-05   1.48353
     1.3e+06           90         4.14   0.00645595   -0.0111793   3.2955e+30       206000 -7.21728e-05    1.5708
     1.3e+06           10        4.554    0.0247424    0.0256367   3.2955e+30       206000  0.000634312  0.174533
     1.3e+06           15        4.554    0.0243642    0.0279552   3.2955e+30       206000  0.000681106  0.261799
     1.3e+06           20        4.554    0.0246644    0.0251283   3.2955e+30       206000  0.000619774  0.349066
     1.3e+06           25        4.554     0.025021    0.0133886   3.2955e+30       206000  0.000334995  0.436332
     1.3e+06           30        4.554    0.0263141   -0.0119619   3.2955e+30       206000 -0.000314768  0.523599
     1.3e+06           35        4.554    0.0251042   -0.0360363   3.2955e+30       206000 -0.000904662  0.610865
     1.3e+06           40        4.554    0.0231279   -0.0576233   3.2955e+30       206000  -0.00133271  0.698132
     1.3e+06           45        4.554    0.0223403   -0.0667153   3.2955e+30       206000  -0.00149044  0.785398
     1.3e+06            5        4.554    0.0236542    0.0131798   3.2955e+30       206000  0.000311757  0.0872665
     1.3e+06           50        4.554    0.0191233   -0.0737608   3.2955e+30       206000  -0.00141055  0.872665
     1.3e+06           55        4.554     0.017217   -0.0804238   3.2955e+30       206000  -0.00138466  0.959931
     1.3e+06           60        4.554    0.0163206   -0.0792769   3.2955e+30       206000  -0.00129384    1.0472
     1.3e+06           65        4.554    0.0136164   -0.0745667   3.2955e+30       206000  -0.00101533   1.13446
     1.3e+06           70        4.554    0.0121559   -0.0783719   3.2955e+30       206000 -0.000952681   1.22173
     1.3e+06           75        4.554     0.010976   -0.0782037   3.2955e+30       206000 -0.000858366     1.309
     1.3e+06           80        4.554   0.00796191   -0.0818707   3.2955e+30       206000 -0.000651848   1.39626
     1.3e+06           85        4.554   0.00775976   -0.0859072   3.2955e+30       206000  -0.00066662   1.48353
     1.3e+06           90        4.554   0.00670602   -0.0873973   3.2955e+30       206000 -0.000586088    1.5708
     1.3e+06           10        5.175    0.0245255    0.0243182   3.2955e+30       206000  0.000596417  0.174533
     1.3e+06           15        5.175    0.0240891    0.0231186   3.2955e+30       206000  0.000556908  0.261799
     1.3e+06           20        5.175    0.0242576     0.014653   3.2955e+30       206000  0.000355447  0.349066
     1.3e+06           25        5.175    0.0244701  -0.00418251   3.2955e+30       206000 -0.000102346  0.436332
     1.3e+06           30        5.175    0.0255699   -0.0377963   3.2955e+30       206000 -0.000966448  0.523599
     1.3e+06           35        5.175    0.0242278   -0.0714542   3.2955e+30       206000  -0.00173118  0.610865
     1.3e+06           40        5.175    0.0221302     -0.10434   3.2955e+30       206000  -0.00230905  0.698132
     1.3e+06           45        5.175    0.0212033    -0.119771   3.2955e+30       206000  -0.00253955  0.785398
     1.3e+06            5        5.175    0.0234521    0.0134006   3.2955e+30       206000  0.000314273  0.0872665
     1.3e+06           50        5.175    0.0181315    -0.135453   3.2955e+30       206000  -0.00245596  0.872665
     1.3e+06           55        5.175    0.0164981    -0.152872   3.2955e+30       206000  -0.00252209  0.959931
     1.3e+06           60        5.175     0.015885    -0.157099   3.2955e+30       206000  -0.00249551    1.0472
     1.3e+06           65        5.175     0.013423    -0.152511   3.2955e+30       206000  -0.00204715   1.13446
     1.3e+06           70        5.175    0.0120526    -0.164273   3.2955e+30       206000  -0.00197992   1.22173
     1.3e+06           75        5.175    0.0108757     -0.16594   3.2955e+30       206000  -0.00180471     1.309
     1.3e+06           80        5.175   0.00788131    -0.172344   3.2955e+30       206000   -0.0013583   1.39626
