#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.1e+06           10         2.07    0.0157379    -0.333592   1.9965e+30       206000  -0.00525002  0.174533
     1.1e+06           15         2.07    0.0144693    -0.332899   1.9965e+30       206000  -0.00481681  0.261799
     1.1e+06           20         2.07    0.0164036    -0.328062   1.9965e+30       206000  -0.00538138  0.349066
     1.1e+06           25         2.07    0.0153963    -0.310452   1.9965e+30       206000   -0.0047798  0.436332
     1.1e+06           30         2.07    0.0158544    -0.307659   1.9965e+30       206000  -0.00487774  0.523599
     1.1e+06           35         2.07    0.0142318      -0.3083   1.9965e+30       206000  -0.00438766  0.610865
     1.1e+06           40         2.07     0.013661    -0.306241   1.9965e+30       206000  -0.00418355  0.698132
     1.1e+06           45         2.07    0.0122438    -0.281556   1.9965e+30       206000  -0.00344732  0.785398
     1.1e+06            5         2.07    0.0157224      -0.2108   1.9965e+30       206000  -0.00331429  0.0872665
     1.1e+06           50         2.07    0.0109898    -0.295322   1.9965e+30       206000  -0.00324553  0.872665
     1.1e+06           55         2.07   0.00995263    -0.308124   1.9965e+30       206000  -0.00306664  0.959931
     1.1e+06           60         2.07   0.00900784     -0.30058   1.9965e+30       206000  -0.00270758    1.0472
     1.1e+06           65         2.07   0.00809903    -0.292597   1.9965e+30       206000  -0.00236975   1.13446
     1.1e+06           70         2.07   0.00850742     -0.29837   1.9965e+30       206000  -0.00253836   1.22173
     1.1e+06           75         2.07   0.00715885    -0.311952   1.9965e+30       206000  -0.00223322     1.309
     1.1e+06           80         2.07    0.0052576     -0.32253   1.9965e+30       206000  -0.00169574   1.39626
     1.1e+06           85         2.07    0.0051736    -0.322158   1.9965e+30       206000  -0.00166672   1.48353
     1.1e+06           90         2.07   0.00515772    -0.322185   1.9965e+30       206000  -0.00166174    1.5708
     1.1e+06           10        2.484    0.0206279    -0.277227   1.9965e+30       206000  -0.00571863  0.174533
     1.1e+06           15        2.484    0.0188683    -0.283248   1.9965e+30       206000  -0.00534439  0.261799
     1.1e+06           20        2.484    0.0210998    -0.278296   1.9965e+30       206000    -0.005872  0.349066
     1.1e+06           25        2.484    0.0195198    -0.261188   1.9965e+30       206000  -0.00509834  0.436332
     1.1e+06           30        2.484    0.0198134    -0.258606   1.9965e+30       206000  -0.00512388  0.523599
     1.1e+06           35        2.484    0.0175901    -0.257222   1.9965e+30       206000  -0.00452456  0.610865
     1.1e+06           40        2.484    0.0167828    -0.256014   1.9965e+30       206000  -0.00429663  0.698132
     1.1e+06           45        2.484    0.0149521    -0.233737   1.9965e+30       206000  -0.00349487  0.785398
     1.1e+06            5        2.484    0.0206169    -0.185208   1.9965e+30       206000  -0.00381841  0.0872665
     1.1e+06           50        2.484    0.0133425    -0.244002   1.9965e+30       206000  -0.00325559  0.872665
     1.1e+06           55        2.484    0.0120166    -0.255139   1.9965e+30       206000  -0.00306592  0.959931
     1.1e+06           60        2.484    0.0108085    -0.248978   1.9965e+30       206000  -0.00269109    1.0472
     1.1e+06           65        2.484   0.00965343    -0.241817   1.9965e+30       206000  -0.00233436   1.13446
     1.1e+06           70        2.484    0.0100787    -0.247666   1.9965e+30       206000  -0.00249614   1.22173
     1.1e+06           75        2.484   0.00842847    -0.259183   1.9965e+30       206000  -0.00218451     1.309
     1.1e+06           80        2.484    0.0061356    -0.267983   1.9965e+30       206000  -0.00164424   1.39626
     1.1e+06           85        2.484    0.0059969    -0.268272   1.9965e+30       206000   -0.0016088   1.48353
     1.1e+06           90        2.484     0.005957    -0.268671   1.9965e+30       206000  -0.00160048    1.5708
     1.1e+06           10        3.105    0.0198513    -0.157548   1.9965e+30       206000  -0.00312753  0.174533
     1.1e+06           15        3.105    0.0185574    -0.163331   1.9965e+30       206000  -0.00303099  0.261799
     1.1e+06           20        3.105    0.0219882    -0.159988   1.9965e+30       206000  -0.00351785  0.349066
