#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
       1e+06           25         41.4  0.000996382    -0.769591      1.5e+30       206000 -0.000766807  0.436332
       1e+06           30         41.4  0.000845044     -0.77082      1.5e+30       206000 -0.000651377  0.523599
       1e+06           35         41.4  0.000836747    -0.741284      1.5e+30       206000 -0.000620267  0.610865
       1e+06           40         41.4   0.00070939    -0.733374      1.5e+30       206000 -0.000520248  0.698132
       1e+06           45         41.4  0.000714778    -0.745964      1.5e+30       206000 -0.000533199  0.785398
       1e+06            5         41.4   0.00120127    -0.616777      1.5e+30       206000 -0.000740917  0.0872665
       1e+06           50         41.4  0.000604586    -0.731475      1.5e+30       206000  -0.00044224  0.872665
       1e+06           55         41.4  0.000570226    -0.730392      1.5e+30       206000 -0.000416489  0.959931
       1e+06           60         41.4  0.000470244    -0.756316      1.5e+30       206000 -0.000355653    1.0472
       1e+06           65         41.4  0.000439524    -0.748642      1.5e+30       206000 -0.000329046   1.13446
       1e+06           70         41.4  0.000354665     -0.77075      1.5e+30       206000 -0.000273358   1.22173
       1e+06           75         41.4  0.000308194    -0.729457      1.5e+30       206000 -0.000224814     1.309
       1e+06           80         41.4  0.000316904    -0.774062      1.5e+30       206000 -0.000245303   1.39626
       1e+06           85         41.4  0.000277769    -0.777382      1.5e+30       206000 -0.000215933   1.48353
       1e+06           90         41.4  0.000218663    -0.767594      1.5e+30       206000 -0.000167844    1.5708
