#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.7e+06           35         8.28    0.0167061   -0.0438196   7.3695e+30       206000 -0.000732053  0.610865
     1.7e+06           40         8.28    0.0157642   -0.0781294   7.3695e+30       206000  -0.00123165  0.698132
     1.7e+06           45         8.28    0.0150437    -0.110527   7.3695e+30       206000  -0.00166275  0.785398
     1.7e+06            5         8.28    0.0217471    0.0157607   7.3695e+30       206000  0.000342748  0.0872665
     1.7e+06           50         8.28    0.0125313    -0.141492   7.3695e+30       206000  -0.00177309  0.872665
     1.7e+06           55         8.28    0.0116719    -0.161042   7.3695e+30       206000  -0.00187967  0.959931
     1.7e+06           60         8.28    0.0102045    -0.184782   7.3695e+30       206000  -0.00188561    1.0472
     1.7e+06           65         8.28   0.00992211    -0.198083   7.3695e+30       206000   -0.0019654   1.13446
     1.7e+06           70         8.28   0.00779603    -0.211503   7.3695e+30       206000  -0.00164889   1.22173
     1.7e+06           75         8.28   0.00696153    -0.219066   7.3695e+30       206000  -0.00152503     1.309
     1.7e+06           80         8.28   0.00500238    -0.221483   7.3695e+30       206000  -0.00110794   1.39626
     1.7e+06           85         8.28   0.00478914    -0.215805   7.3695e+30       206000  -0.00103352   1.48353
     1.7e+06           90         8.28   0.00260421    -0.215217   7.3695e+30       206000 -0.000560471    1.5708
     1.7e+06           10        8.694    0.0219941    0.0286951   7.3695e+30       206000  0.000631124  0.174533
     1.7e+06           15        8.694    0.0211321    0.0335637   7.3695e+30       206000  0.000709271  0.261799
     1.7e+06           20        8.694    0.0194494    0.0319099   7.3695e+30       206000  0.000620626  0.349066
     1.7e+06           25        8.694    0.0193045    0.0176011   7.3695e+30       206000  0.000339779  0.436332
     1.7e+06           30        8.694    0.0189121  -0.00656064   7.3695e+30       206000 -0.000124076  0.523599
     1.7e+06           35        8.694    0.0159725   -0.0377223   7.3695e+30       206000 -0.000602518  0.610865
     1.7e+06           40        8.694    0.0150703   -0.0728568   7.3695e+30       206000  -0.00109798  0.698132
     1.7e+06           45        8.694    0.0143756    -0.106659   7.3695e+30       206000  -0.00153328  0.785398
     1.7e+06            5        8.694    0.0212217    0.0157427   7.3695e+30       206000  0.000334087  0.0872665
     1.7e+06           50        8.694    0.0119533    -0.140262   7.3695e+30       206000  -0.00167659  0.872665
     1.7e+06           55        8.694    0.0111084    -0.161904   7.3695e+30       206000   -0.0017985  0.959931
     1.7e+06           60        8.694   0.00969076    -0.187495   7.3695e+30       206000  -0.00181697    1.0472
     1.7e+06           65        8.694   0.00941441     -0.20248   7.3695e+30       206000  -0.00190623   1.13446
     1.7e+06           70        8.694   0.00740446    -0.216841   7.3695e+30       206000  -0.00160559   1.22173
     1.7e+06           75        8.694   0.00662031    -0.224793   7.3695e+30       206000   -0.0014882     1.309
     1.7e+06           80        8.694   0.00477181    -0.226659   7.3695e+30       206000  -0.00108157   1.39626
     1.7e+06           85        8.694   0.00458968    -0.219741   7.3695e+30       206000  -0.00100854   1.48353
     1.7e+06           90        8.694   0.00250159    -0.218176   7.3695e+30       206000 -0.000545786    1.5708
     1.7e+06           10        9.315    0.0211477    0.0294822   7.3695e+30       206000  0.000623482  0.174533
     1.7e+06           15        9.315    0.0202452    0.0355704   7.3695e+30       206000  0.000720132  0.261799
     1.7e+06           20        9.315    0.0185207    0.0353025   7.3695e+30       206000  0.000653827  0.349066
     1.7e+06           25        9.315    0.0182449    0.0230203   7.3695e+30       206000  0.000420003  0.436332
     1.7e+06           30        9.315    0.0177815   0.00142969   7.3695e+30       206000  2.54221e-05  0.523599
     1.7e+06           35        9.315    0.0149901   -0.0284439   7.3695e+30       206000 -0.000426376  0.610865
     1.7e+06           40        9.315    0.0141413   -0.0646546   7.3695e+30       206000 -0.000914298  0.698132
     1.7e+06           45        9.315    0.0134815    -0.100739   7.3695e+30       206000  -0.00135811  0.785398
     1.7e+06            5        9.315    0.0204177    0.0157304   7.3695e+30       206000  0.000321179  0.0872665
     1.7e+06           50        9.315    0.0111815    -0.138308   7.3695e+30       206000  -0.00154649  0.872665
     1.7e+06           55        9.315    0.0103581    -0.163072   7.3695e+30       206000  -0.00168912  0.959931
     1.7e+06           60        9.315   0.00900839    -0.191553   7.3695e+30       206000  -0.00172559    1.0472
     1.7e+06           65        9.315   0.00874075    -0.209037   7.3695e+30       206000  -0.00182714   1.13446
     1.7e+06           70        9.315   0.00688428    -0.224855   7.3695e+30       206000  -0.00154797   1.22173
     1.7e+06           75        9.315   0.00616633    -0.233262   7.3695e+30       206000  -0.00143837     1.309
     1.7e+06           80        9.315   0.00443655      -0.2343   7.3695e+30       206000  -0.00103948   1.39626
     1.7e+06           85        9.315   0.00424037    -0.225528   7.3695e+30       206000  -0.00095632   1.48353
     1.7e+06           90        9.315   0.00230379    -0.222445   7.3695e+30       206000 -0.000512466    1.5708
     1.7e+06           10        9.729    0.0206941    0.0298836   7.3695e+30       206000  0.000618414  0.174533
     1.7e+06           15        9.729    0.0197568    0.0369216   7.3695e+30       206000  0.000729452  0.261799
     1.7e+06           20        9.729    0.0179913     0.037593   7.3695e+30       206000  0.000676347  0.349066
     1.7e+06           25        9.729    0.0176227    0.0266817   7.3695e+30       206000  0.000470203  0.436332
     1.7e+06           30        9.729    0.0171078   0.00682378   7.3695e+30       206000   0.00011674  0.523599
     1.7e+06           35        9.729    0.0144022   -0.0221896   7.3695e+30       206000 -0.000319579  0.610865
     1.7e+06           40        9.729    0.0135854   -0.0590991   7.3695e+30       206000 -0.000802882  0.698132
     1.7e+06           45        9.729    0.0129468   -0.0966797   7.3695e+30       206000  -0.00125169  0.785398
     1.7e+06            5        9.729     0.019989    0.0157163   7.3695e+30       206000  0.000314154  0.0872665
     1.7e+06           50        9.729    0.0107209    -0.136887   7.3695e+30       206000  -0.00146755  0.872665
     1.7e+06           55        9.729    0.0099115    -0.163787   7.3695e+30       206000  -0.00162338  0.959931
     1.7e+06           60        9.729   0.00860324    -0.194165   7.3695e+30       206000  -0.00167045    1.0472
     1.7e+06           65        9.729   0.00834117    -0.213323   7.3695e+30       206000  -0.00177936   1.13446
     1.7e+06           70        9.729   0.00657537    -0.230109   7.3695e+30       206000  -0.00151305   1.22173
     1.7e+06           75        9.729   0.00589634    -0.238837   7.3695e+30       206000  -0.00140827     1.309
     1.7e+06           80        9.729   0.00423748    -0.239332   7.3695e+30       206000  -0.00101416   1.39626
     1.7e+06           85        9.729   0.00403403    -0.229279   7.3695e+30       206000 -0.000924918   1.48353
     1.7e+06           90        9.729   0.00218724    -0.225195   7.3695e+30       206000 -0.000492556    1.5708
     1.7e+06           10        10.35    0.0200797    0.0317542   7.3695e+30       206000  0.000637616  0.174533
     1.7e+06           15        10.35    0.0191767     0.039298   7.3695e+30       206000  0.000753607  0.261799
     1.7e+06           20        10.35     0.017473     0.041168   7.3695e+30       206000  0.000719327  0.349066
     1.7e+06           25        10.35    0.0171271    0.0321559   7.3695e+30       206000  0.000550737  0.436332
     1.7e+06           30        10.35    0.0166495    0.0145087   7.3695e+30       206000  0.000241562  0.523599
     1.7e+06           35        10.35    0.0140509   -0.0125978   7.3695e+30       206000  -0.00017701  0.610865
     1.7e+06           40        10.35    0.0132992   -0.0488501   7.3695e+30       206000 -0.000649668  0.698132
     1.7e+06           45        10.35    0.0126815   -0.0865036   7.3695e+30       206000    -0.001097  0.785398
     1.7e+06            5        10.35    0.0193945     0.016693   7.3695e+30       206000  0.000323751  0.0872665
     1.7e+06           50        10.35    0.0104051    -0.127801   7.3695e+30       206000  -0.00132979  0.872665
     1.7e+06           55        10.35    0.0094891    -0.156224   7.3695e+30       206000  -0.00148243  0.959931
     1.7e+06           60        10.35   0.00812679     -0.18746   7.3695e+30       206000  -0.00152344    1.0472
     1.7e+06           65        10.35   0.00781262    -0.208151   7.3695e+30       206000   -0.0016262   1.13446
     1.7e+06           70        10.35   0.00615951    -0.225565   7.3695e+30       206000  -0.00138937   1.22173
     1.7e+06           75        10.35   0.00553237    -0.234487   7.3695e+30       206000  -0.00129727     1.309
     1.7e+06           80        10.35   0.00396949    -0.234668   7.3695e+30       206000 -0.000931514   1.39626
     1.7e+06           85        10.35    0.0037576    -0.223928   7.3695e+30       206000 -0.000841434   1.48353
     1.7e+06           90        10.35   0.00203147    -0.219042   7.3695e+30       206000 -0.000444978    1.5708
