#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.3e+06           90        5.175   0.00661221     0.207133   1.0935e+30       206000   0.00136961    1.5708
     1.3e+06           10        10.35    0.0202237   -0.0194633   1.0935e+30       206000 -0.000393619  0.174533
     1.3e+06           15        10.35    0.0192322   -0.0349837   1.0935e+30       206000 -0.000672814  0.261799
     1.3e+06           20        10.35    0.0180984   -0.0406101   1.0935e+30       206000 -0.000734979  0.349066
     1.3e+06           25        10.35    0.0169734   -0.0356972   1.0935e+30       206000 -0.000605903  0.436332
     1.3e+06           30        10.35    0.0165802   -0.0200013   1.0935e+30       206000 -0.000331627  0.523599
     1.3e+06           35        10.35    0.0152605   0.00354683   1.0935e+30       206000  5.41264e-05  0.610865
     1.3e+06           40        10.35    0.0138204    0.0388893   1.0935e+30       206000  0.000537465  0.698132
     1.3e+06           45        10.35    0.0131692    0.0782011   1.0935e+30       206000   0.00102984  0.785398
     1.3e+06            5        10.35    0.0193945  -0.00502098   1.0935e+30       206000 -9.73793e-05  0.0872665
     1.3e+06           50        10.35    0.0112016     0.123014   1.0935e+30       206000   0.00137794  0.872665
     1.3e+06           55        10.35    0.0101599     0.156166   1.0935e+30       206000   0.00158663  0.959931
     1.3e+06           60        10.35   0.00974984     0.188838   1.0935e+30       206000   0.00184114    1.0472
     1.3e+06           65        10.35   0.00821775     0.213412   1.0935e+30       206000   0.00175377   1.13446
     1.3e+06           70        10.35    0.0073758     0.231313   1.0935e+30       206000   0.00170612   1.22173
     1.3e+06           75        10.35   0.00666319     0.240474   1.0935e+30       206000   0.00160232     1.309
     1.3e+06           80        10.35   0.00483705     0.245494   1.0935e+30       206000   0.00118746   1.39626
     1.3e+06           85        10.35   0.00465984     0.242687   1.0935e+30       206000   0.00113088   1.48353
     1.3e+06           90        10.35   0.00393415     0.231063   1.0935e+30       206000  0.000909035    1.5708
     1.3e+06           10        9.729    0.0208432   -0.0184552   1.0935e+30       206000 -0.000384665  0.174533
     1.3e+06           15        9.729    0.0198159   -0.0329094   1.0935e+30       206000  -0.00065213  0.261799
     1.3e+06           20        9.729    0.0186371   -0.0373332   1.0935e+30       206000 -0.000695782  0.349066
     1.3e+06           25        9.729    0.0174676   -0.0306037   1.0935e+30       206000 -0.000534575  0.436332
     1.3e+06           30        9.729    0.0170458   -0.0122129   1.0935e+30       206000 -0.000208178  0.523599
     1.3e+06           35        9.729    0.0156587    0.0136005   1.0935e+30       206000  0.000212966  0.610865
     1.3e+06           40        9.729    0.0141393    0.0506089   1.0935e+30       206000  0.000715576  0.698132
     1.3e+06           45        9.729    0.0134371    0.0905393   1.0935e+30       206000   0.00121658  0.785398
     1.3e+06            5        9.729     0.019989   -0.0047098   1.0935e+30       206000 -9.41443e-05  0.0872665
     1.3e+06           50        9.729    0.0114639     0.135179   1.0935e+30       206000   0.00154968  0.872665
     1.3e+06           55        9.729    0.0105125      0.16755   1.0935e+30       206000   0.00176138  0.959931
     1.3e+06           60        9.729     0.010242       0.1989   1.0935e+30       206000   0.00203714    1.0472
     1.3e+06           65        9.729    0.0087387     0.222128   1.0935e+30       206000   0.00194111   1.13446
     1.3e+06           70        9.729   0.00788303     0.238769   1.0935e+30       206000   0.00188222   1.22173
     1.3e+06           75        9.729   0.00711234     0.247432   1.0935e+30       206000   0.00175982     1.309
     1.3e+06           80        9.729   0.00515313     0.251986   1.0935e+30       206000   0.00129852   1.39626
     1.3e+06           85        9.729   0.00497443     0.249312   1.0935e+30       206000   0.00124018   1.48353
     1.3e+06           90        9.729   0.00422207      0.23806   1.0935e+30       206000    0.0010051    1.5708
     1.3e+06           10        9.315    0.0212943   -0.0180634   1.0935e+30       206000 -0.000384649  0.174533
     1.3e+06           15        9.315    0.0202892   -0.0318347   1.0935e+30       206000   -0.0006459  0.261799
     1.3e+06           20        9.315    0.0191709   -0.0352633   1.0935e+30       206000 -0.000676031  0.349066
     1.3e+06           25        9.315    0.0180586   -0.0272205   1.0935e+30       206000 -0.000491565  0.436332
     1.3e+06           30        9.315    0.0177042  -0.00671213   1.0935e+30       206000 -0.000118833  0.523599
     1.3e+06           35        9.315    0.0162939    0.0204645   1.0935e+30       206000  0.000333446  0.610865
     1.3e+06           40        9.315    0.0147173    0.0576234   1.0935e+30       206000   0.00084806  0.698132
     1.3e+06           45        9.315     0.013988    0.0965768   1.0935e+30       206000   0.00135092  0.785398
