#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.1e+06           10         2.07    0.0157379    0.0329559   1.9965e+30       206000  0.000518655  0.174533
     1.1e+06           15         2.07    0.0144693    0.0506466   1.9965e+30       206000  0.000732821  0.261799
     1.1e+06           20         2.07    0.0164036    0.0820256   1.9965e+30       206000   0.00134551  0.349066
     1.1e+06           25         2.07    0.0153963     0.104448   1.9965e+30       206000   0.00160812  0.436332
     1.1e+06           30         2.07    0.0158544     0.127054   1.9965e+30       206000   0.00201435  0.523599
     1.1e+06           35         2.07    0.0142318     0.155538   1.9965e+30       206000   0.00221358  0.610865
     1.1e+06           40         2.07     0.013661     0.186794   1.9965e+30       206000   0.00255179  0.698132
     1.1e+06           45         2.07    0.0122438     0.205453   1.9965e+30       206000   0.00251553  0.785398
     1.1e+06            5         2.07    0.0157224      0.01009   1.9965e+30       206000   0.00015864  0.0872665
     1.1e+06           50         2.07    0.0109898     0.246726   1.9965e+30       206000   0.00271147  0.872665
     1.1e+06           55         2.07   0.00995263     0.287415   1.9965e+30       206000   0.00286054  0.959931
     1.1e+06           60         2.07   0.00900784     0.306246   1.9965e+30       206000   0.00275861    1.0472
     1.1e+06           65         2.07   0.00809903     0.318091   1.9965e+30       206000   0.00257623   1.13446
     1.1e+06           70         2.07   0.00850742     0.339161   1.9965e+30       206000   0.00288538   1.22173
     1.1e+06           75         2.07   0.00715885     0.362578   1.9965e+30       206000   0.00259564     1.309
     1.1e+06           80         2.07    0.0052576     0.380578   1.9965e+30       206000   0.00200093   1.39626
     1.1e+06           85         2.07    0.0051736     0.380308   1.9965e+30       206000   0.00196756   1.48353
     1.1e+06           90         2.07   0.00515772      0.37166   1.9965e+30       206000   0.00191692    1.5708
     1.1e+06           10        2.484    0.0206279    0.0313975   1.9965e+30       206000  0.000647666  0.174533
     1.1e+06           15        2.484    0.0188683    0.0478629   1.9965e+30       206000   0.00090309  0.261799
     1.1e+06           20        2.484    0.0210998    0.0738201   1.9965e+30       206000   0.00155759  0.349066
     1.1e+06           25        2.484    0.0195198    0.0903426   1.9965e+30       206000   0.00176347  0.436332
     1.1e+06           30        2.484    0.0198134     0.106126   1.9965e+30       206000   0.00210272  0.523599
     1.1e+06           35        2.484    0.0175901     0.124812   1.9965e+30       206000   0.00219546  0.610865
     1.1e+06           40        2.484    0.0167828     0.147953   1.9965e+30       206000   0.00248306  0.698132
     1.1e+06           45        2.484    0.0149521       0.1605   1.9965e+30       206000   0.00239981  0.785398
     1.1e+06            5        2.484    0.0206169     0.010853   1.9965e+30       206000  0.000223755  0.0872665
     1.1e+06           50        2.484    0.0133425     0.192407   1.9965e+30       206000   0.00256718  0.872665
     1.1e+06           55        2.484    0.0120166       0.2256   1.9965e+30       206000   0.00271095  0.959931
     1.1e+06           60        2.484    0.0108085      0.24153   1.9965e+30       206000   0.00261058    1.0472
     1.1e+06           65        2.484   0.00965343     0.251405   1.9965e+30       206000   0.00242692   1.13446
     1.1e+06           70        2.484    0.0100787     0.269988   1.9965e+30       206000   0.00272112   1.22173
     1.1e+06           75        2.484   0.00842847      0.28935   1.9965e+30       206000   0.00243877     1.309
     1.1e+06           80        2.484    0.0061356     0.303921   1.9965e+30       206000   0.00186474   1.39626
     1.1e+06           85        2.484    0.0059969     0.304191   1.9965e+30       206000    0.0018242   1.48353
