#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.7e+06           10         2.07    0.0163573   -0.0277508   1.0935e+30       206000 -0.000453928  0.174533
     1.7e+06           15         2.07    0.0160743   -0.0641116   1.0935e+30       206000  -0.00103055  0.261799
     1.7e+06           20         2.07    0.0153555    -0.103549   1.0935e+30       206000  -0.00159005  0.349066
     1.7e+06           25         2.07    0.0159621    -0.144592   1.0935e+30       206000    -0.002308  0.436332
     1.7e+06           30         2.07    0.0161375    -0.183998   1.0935e+30       206000  -0.00296927  0.523599
     1.7e+06           35         2.07    0.0137762    -0.228543   1.0935e+30       206000  -0.00314846  0.610865
     1.7e+06           40         2.07    0.0130031    -0.281605   1.0935e+30       206000  -0.00366174  0.698132
     1.7e+06           45         2.07    0.0123853    -0.329718   1.0935e+30       206000  -0.00408367  0.785398
     1.7e+06            5         2.07    0.0157224   -0.0070829   1.0935e+30       206000  -0.00011136  0.0872665
     1.7e+06           50         2.07    0.0102068    -0.382961   1.0935e+30       206000  -0.00390879  0.872665
     1.7e+06           55         2.07   0.00937503    -0.417626   1.0935e+30       206000  -0.00391526  0.959931
     1.7e+06           60         2.07   0.00808749    -0.443528   1.0935e+30       206000  -0.00358703    1.0472
     1.7e+06           65         2.07   0.00784553     -0.46485   1.0935e+30       206000    -0.003647   1.13446
     1.7e+06           70         2.07    0.0062382    -0.476496   1.0935e+30       206000  -0.00297247   1.22173
     1.7e+06           75         2.07   0.00564834    -0.478648   1.0935e+30       206000  -0.00270357     1.309
     1.7e+06           80         2.07   0.00420258    -0.468997   1.0935e+30       206000    -0.001971   1.39626
     1.7e+06           85         2.07   0.00424376    -0.445149   1.0935e+30       206000   -0.0018891   1.48353
     1.7e+06           90         2.07    0.0023693      -0.4309   1.0935e+30       206000  -0.00102093    1.5708
     1.7e+06           10        2.484     0.021418   -0.0258157   1.0935e+30       206000 -0.000552921  0.174533
     1.7e+06           15        2.484    0.0208672   -0.0575355   1.0935e+30       206000   -0.0012006  0.261799
     1.7e+06           20        2.484    0.0196541   -0.0902674   1.0935e+30       206000  -0.00177412  0.349066
     1.7e+06           25        2.484    0.0200751    -0.121431   1.0935e+30       206000  -0.00243773  0.436332
     1.7e+06           30        2.484    0.0200217    -0.148916   1.0935e+30       206000  -0.00298154  0.523599
     1.7e+06           35        2.484    0.0169493    -0.181046   1.0935e+30       206000   -0.0030686  0.610865
     1.7e+06           40        2.484    0.0158924     -0.22116   1.0935e+30       206000  -0.00351476  0.698132
     1.7e+06           45        2.484    0.0150473    -0.259109   1.0935e+30       206000  -0.00389888  0.785398
     1.7e+06            5        2.484    0.0206169  -0.00667754   1.0935e+30       206000  -0.00013767  0.0872665
     1.7e+06           50        2.484    0.0123078    -0.302388   1.0935e+30       206000  -0.00372173  0.872665
     1.7e+06           55        2.484    0.0112342    -0.331186   1.0935e+30       206000   -0.0037206  0.959931
     1.7e+06           60        2.484   0.00963094     -0.35311   1.0935e+30       206000  -0.00340078    1.0472
     1.7e+06           65        2.484   0.00926483     -0.37115   1.0935e+30       206000  -0.00343865   1.13446
     1.7e+06           70        2.484   0.00730488    -0.380942   1.0935e+30       206000  -0.00278273   1.22173
     1.7e+06           75        2.484   0.00656081    -0.382532   1.0935e+30       206000  -0.00250972     1.309
     1.7e+06           80        2.484   0.00485385    -0.373778   1.0935e+30       206000  -0.00181426   1.39626
     1.7e+06           85        2.484    0.0048983    -0.353264   1.0935e+30       206000  -0.00173039   1.48353
     1.7e+06           90        2.484   0.00273407    -0.341204   1.0935e+30       206000 -0.000932876    1.5708
     1.7e+06           10        8.694    0.0219941    -0.018606   1.0935e+30       206000 -0.000409223  0.174533
     1.7e+06           15        8.694    0.0211321   -0.0300291   1.0935e+30       206000 -0.000634576  0.261799
     1.7e+06           20        8.694    0.0194494   -0.0304481   1.0935e+30       206000 -0.000592197  0.349066
     1.7e+06           25        8.694    0.0193045    -0.016641   1.0935e+30       206000 -0.000321245  0.436332
     1.7e+06           30        8.694    0.0189121    0.0100708   1.0935e+30       206000  0.000190459  0.523599
     1.7e+06           35        8.694    0.0159725    0.0443364   1.0935e+30       206000  0.000708162  0.610865
     1.7e+06           40        8.694    0.0150703    0.0867624   1.0935e+30       206000   0.00130754  0.698132
     1.7e+06           45        8.694    0.0143756     0.123774   1.0935e+30       206000   0.00177932  0.785398
     1.7e+06            5        8.694    0.0212217  -0.00567813   1.0935e+30       206000   -0.0001205  0.0872665
     1.7e+06           50        8.694    0.0119533     0.163578   1.0935e+30       206000    0.0019553  0.872665
     1.7e+06           55        8.694    0.0111084     0.189245   1.0935e+30       206000   0.00210222  0.959931
     1.7e+06           60        8.694   0.00969076      0.20901   1.0935e+30       206000   0.00202546    1.0472
     1.7e+06           65        8.694   0.00941441     0.225931   1.0935e+30       206000   0.00212701   1.13446
     1.7e+06           70        8.694   0.00740446      0.23627   1.0935e+30       206000   0.00174945   1.22173
     1.7e+06           75        8.694   0.00662031     0.240418   1.0935e+30       206000   0.00159164     1.309
     1.7e+06           80        8.694   0.00477181      0.23959   1.0935e+30       206000   0.00114328   1.39626
     1.7e+06           85        8.694   0.00458968     0.229458   1.0935e+30       206000   0.00105314   1.48353
     1.7e+06           90        8.694   0.00250159     0.222107   1.0935e+30       206000  0.000555619    1.5708
     1.7e+06           10        4.554    0.0246722   -0.0164869   1.0935e+30       206000 -0.000406768  0.174533
