#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
       1e+06            5        9.108    0.0123918     0.101156      1.5e+30       206000   0.00125351  0.0872665
       1e+06           50        9.108   0.00779436      0.11985      1.5e+30       206000  0.000934153  0.872665
       1e+06           55        9.108   0.00752163     0.119103      1.5e+30       206000  0.000895849  0.959931
       1e+06           60        9.108   0.00644369     0.123527      1.5e+30       206000  0.000795969    1.0472
       1e+06           65        9.108   0.00631442     0.122235      1.5e+30       206000   0.00077184   1.13446
       1e+06           70        9.108   0.00531332      0.12689      1.5e+30       206000  0.000674204   1.22173
       1e+06           75        9.108   0.00476389     0.115527      1.5e+30       206000   0.00055036     1.309
       1e+06           80        9.108   0.00503039     0.127347      1.5e+30       206000  0.000640605   1.39626
       1e+06           85        9.108   0.00449192     0.126825      1.5e+30       206000  0.000569688   1.48353
       1e+06           90        9.108    0.0035974     0.122434      1.5e+30       206000  0.000440446    1.5708
       1e+06           10       10.212    0.0111568     0.103109      1.5e+30       206000   0.00115037  0.174533
       1e+06           15       10.212    0.0110841     0.101304      1.5e+30       206000   0.00112286  0.261799
       1e+06           20       10.212    0.0109431    0.0985079      1.5e+30       206000   0.00107798  0.349066
       1e+06           25       10.212    0.0107426    0.0995083      1.5e+30       206000   0.00106898  0.436332
       1e+06           30       10.212   0.00951346    0.0990685      1.5e+30       206000  0.000942485  0.523599
       1e+06           35       10.212    0.0097409    0.0949919      1.5e+30       206000  0.000925306  0.610865
       1e+06           40       10.212   0.00835405    0.0935864      1.5e+30       206000  0.000781825  0.698132
       1e+06           45       10.212   0.00845434    0.0951475      1.5e+30       206000   0.00080441  0.785398
       1e+06            5       10.212    0.0117146    0.0780381      1.5e+30       206000  0.000914187  0.0872665
       1e+06           50       10.212   0.00719228    0.0924363      1.5e+30       206000  0.000664828  0.872665
       1e+06           55       10.212   0.00690767    0.0919379      1.5e+30       206000  0.000635077  0.959931
       1e+06           60       10.212    0.0058602    0.0953613      1.5e+30       206000  0.000558836    1.0472
       1e+06           65       10.212   0.00567168    0.0943235      1.5e+30       206000  0.000534972   1.13446
       1e+06           70       10.212   0.00472161    0.0977125      1.5e+30       206000   0.00046136   1.22173
       1e+06           75       10.212   0.00421378    0.0899031      1.5e+30       206000  0.000378832     1.309
       1e+06           80       10.212   0.00445711    0.0981022      1.5e+30       206000  0.000437252   1.39626
       1e+06           85       10.212   0.00399018    0.0979755      1.5e+30       206000   0.00039094   1.48353
       1e+06           90       10.212    0.0031979    0.0952415      1.5e+30       206000  0.000304573    1.5708
       1e+06           10        11.04    0.0107403    0.0794322      1.5e+30       206000  0.000853124  0.174533
       1e+06           15        11.04    0.0106722    0.0785868      1.5e+30       206000  0.000838697  0.261799
       1e+06           20        11.04    0.0105401    0.0761113      1.5e+30       206000  0.000802225  0.349066
       1e+06           25        11.04    0.0103523    0.0770781      1.5e+30       206000  0.000797932  0.436332
       1e+06           30        11.04   0.00917182    0.0768802      1.5e+30       206000  0.000705131  0.523599
       1e+06           35        11.04   0.00937445    0.0739825      1.5e+30       206000  0.000693545  0.610865
       1e+06           40        11.04   0.00800432    0.0728639      1.5e+30       206000  0.000583226  0.698132
       1e+06           45        11.04    0.0080588    0.0741132      1.5e+30       206000  0.000597264  0.785398
       1e+06            5        11.04    0.0112773    0.0608729      1.5e+30       206000  0.000686482  0.0872665
       1e+06           50        11.04   0.00682141    0.0720826      1.5e+30       206000  0.000491705  0.872665
       1e+06           55        11.04   0.00652064    0.0718157      1.5e+30       206000  0.000468284  0.959931
       1e+06           60        11.04   0.00551134     0.074471      1.5e+30       206000  0.000410435    1.0472
       1e+06           65        11.04   0.00531303    0.0736408      1.5e+30       206000  0.000391256   1.13446
