#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.2e+06           50        3.726    0.0176719     0.106111   1.0935e+30       206000   0.00187519  0.872665
     1.2e+06           55        3.726    0.0168958     0.106453   1.0935e+30       206000   0.00179861  0.959931
     1.2e+06           60        3.726    0.0153039     0.106331   1.0935e+30       206000   0.00162727    1.0472
     1.2e+06           65        3.726    0.0138845     0.106503   1.0935e+30       206000   0.00147874   1.13446
     1.2e+06           70        3.726    0.0115765     0.107166   1.0935e+30       206000    0.0012406   1.22173
     1.2e+06           75        3.726     0.010249     0.106787   1.0935e+30       206000   0.00109446     1.309
     1.2e+06           80        3.726   0.00988378     0.106945   1.0935e+30       206000   0.00105702   1.39626
     1.2e+06           85        3.726   0.00800258     0.107202   1.0935e+30       206000  0.000857893   1.48353
     1.2e+06           90        3.726   0.00472653     0.106911   1.0935e+30       206000  0.000505317    1.5708
     1.2e+06           10        3.105    0.0207332    0.0945394   1.0935e+30       206000   0.00196011  0.174533
     1.2e+06           15        3.105    0.0206293     0.156611   1.0935e+30       206000   0.00323078  0.261799
     1.2e+06           20        3.105    0.0192367     0.174662   1.0935e+30       206000   0.00335993  0.349066
     1.2e+06           25        3.105    0.0219734     0.180078   1.0935e+30       206000   0.00395694  0.436332
     1.2e+06           30        3.105    0.0213165     0.185569   1.0935e+30       206000   0.00395569  0.523599
     1.2e+06           35        3.105    0.0225165     0.187713   1.0935e+30       206000   0.00422663  0.610865
     1.2e+06           40        3.105    0.0202521     0.189894   1.0935e+30       206000   0.00384575  0.698132
     1.2e+06           45        3.105    0.0180879     0.190551   1.0935e+30       206000   0.00344666  0.785398
     1.2e+06            5        3.105    0.0198032    0.0277819   1.0935e+30       206000  0.000550171  0.0872665
     1.2e+06           50        3.105    0.0161979      0.19158   1.0935e+30       206000    0.0031032  0.872665
     1.2e+06           55        3.105    0.0155923     0.192197   1.0935e+30       206000    0.0029968  0.959931
     1.2e+06           60        3.105    0.0142149     0.191977   1.0935e+30       206000   0.00272894    1.0472
     1.2e+06           65        3.105    0.0129659     0.192284   1.0935e+30       206000   0.00249313   1.13446
     1.2e+06           70        3.105    0.0108394     0.193482   1.0935e+30       206000   0.00209722   1.22173
     1.2e+06           75        3.105   0.00958667     0.192798   1.0935e+30       206000   0.00184829     1.309
     1.2e+06           80        3.105   0.00922911     0.193085   1.0935e+30       206000     0.001782   1.39626
     1.2e+06           85        3.105   0.00746643     0.193549   1.0935e+30       206000   0.00144512   1.48353
     1.2e+06           90        3.105   0.00441107     0.193022   1.0935e+30       206000  0.000851431    1.5708
     1.2e+06           10        5.796    0.0247286   -0.0751637   1.0935e+30       206000  -0.00185869  0.174533
     1.2e+06           15        5.796    0.0241111    -0.124417   1.0935e+30       206000  -0.00299983  0.261799
     1.2e+06           20        5.796    0.0216573    -0.139003   1.0935e+30       206000  -0.00301043  0.349066
     1.2e+06           25        5.796    0.0236487    -0.143295   1.0935e+30       206000  -0.00338874  0.436332
     1.2e+06           30        5.796     0.022068    -0.147764   1.0935e+30       206000  -0.00326086  0.523599
     1.2e+06           35        5.796     0.022911    -0.149489   1.0935e+30       206000  -0.00342493  0.610865
     1.2e+06           40        5.796    0.0206887    -0.151215   1.0935e+30       206000  -0.00312844  0.698132
     1.2e+06           45        5.796    0.0185894     -0.15174   1.0935e+30       206000  -0.00282076  0.785398
     1.2e+06            5        5.796    0.0236617    -0.022123   1.0935e+30       206000 -0.000523468  0.0872665
     1.2e+06           50        5.796    0.0167797    -0.152559   1.0935e+30       206000   -0.0025599  0.872665
     1.2e+06           55        5.796    0.0163367     -0.15305   1.0935e+30       206000  -0.00250033  0.959931
     1.2e+06           60        5.796    0.0151051    -0.152876   1.0935e+30       206000  -0.00230921    1.0472
     1.2e+06           65        5.796    0.0139477    -0.153114   1.0935e+30       206000  -0.00213558   1.13446
     1.2e+06           70        5.796    0.0118254    -0.154074   1.0935e+30       206000  -0.00182198   1.22173
     1.2e+06           75        5.796    0.0106157     -0.15353   1.0935e+30       206000  -0.00162984     1.309
     1.2e+06           80        5.796     0.010352    -0.153754   1.0935e+30       206000  -0.00159166   1.39626
     1.2e+06           85        5.796   0.00839259    -0.154116   1.0935e+30       206000  -0.00129343   1.48353
     1.2e+06           90        5.796   0.00491261    -0.153713   1.0935e+30       206000  -0.00075513    1.5708
     1.2e+06           10        6.831    0.0237824   -0.0740867   1.0935e+30       206000  -0.00176196  0.174533
     1.2e+06           15        6.831    0.0230746    -0.122611   1.0935e+30       206000  -0.00282919  0.261799
     1.2e+06           20        6.831    0.0205365    -0.137045   1.0935e+30       206000  -0.00281442  0.349066
     1.2e+06           25        6.831    0.0221774    -0.141272   1.0935e+30       206000  -0.00313304  0.436332
     1.2e+06           30        6.831    0.0204651    -0.145696   1.0935e+30       206000  -0.00298167  0.523599
     1.2e+06           35        6.831    0.0208515    -0.147386   1.0935e+30       206000  -0.00307322  0.610865
     1.2e+06           40        6.831    0.0184037    -0.149104   1.0935e+30       206000  -0.00274406  0.698132
     1.2e+06           45        6.831    0.0161655    -0.149615   1.0935e+30       206000   -0.0024186  0.785398
     1.2e+06            5        6.831    0.0227663   -0.0218144   1.0935e+30       206000 -0.000496634  0.0872665
     1.2e+06           50        6.831    0.0144144    -0.150438   1.0935e+30       206000  -0.00216847  0.872665
     1.2e+06           55        6.831    0.0141825    -0.150919   1.0935e+30       206000  -0.00214041  0.959931
     1.2e+06           60        6.831    0.0134374    -0.150749   1.0935e+30       206000  -0.00202567    1.0472
     1.2e+06           65        6.831    0.0126692    -0.150973   1.0935e+30       206000   -0.0019127   1.13446
     1.2e+06           70        6.831    0.0108629    -0.151923   1.0935e+30       206000  -0.00165032   1.22173
     1.2e+06           75        6.831   0.00973514    -0.151388   1.0935e+30       206000  -0.00147378     1.309
     1.2e+06           80        6.831   0.00945083     -0.15161   1.0935e+30       206000  -0.00143284   1.39626
     1.2e+06           85        6.831   0.00763837    -0.151968   1.0935e+30       206000  -0.00116078   1.48353
     1.2e+06           90        6.831   0.00446614    -0.151569   1.0935e+30       206000 -0.000676929    1.5708
     1.2e+06           10        5.175    0.0245255   -0.0572778   1.0935e+30       206000  -0.00140477  0.174533
     1.2e+06           15        5.175    0.0240891   -0.0948378   1.0935e+30       206000  -0.00228456  0.261799
     1.2e+06           20        5.175    0.0219345    -0.105888   1.0935e+30       206000   -0.0023226  0.349066
     1.2e+06           25        5.175     0.024348    -0.109162   1.0935e+30       206000  -0.00265789  0.436332
     1.2e+06           30        5.175    0.0230672    -0.112543   1.0935e+30       206000  -0.00259604  0.523599
     1.2e+06           35        5.175    0.0243125    -0.113857   1.0935e+30       206000  -0.00276815  0.610865
     1.2e+06           40        5.175    0.0222381    -0.115167   1.0935e+30       206000  -0.00256109  0.698132
     1.2e+06           45        5.175    0.0202285    -0.115569   1.0935e+30       206000  -0.00233778  0.785398
     1.2e+06            5        5.175    0.0234521   -0.0168489   1.0935e+30       206000 -0.000395143  0.0872665
     1.2e+06           50        5.175    0.0183528    -0.116186   1.0935e+30       206000  -0.00213234  0.872665
     1.2e+06           55        5.175     0.017691    -0.116561   1.0935e+30       206000  -0.00206208  0.959931
     1.2e+06           60        5.175    0.0160402    -0.116427   1.0935e+30       206000  -0.00186752    1.0472
     1.2e+06           65        5.175    0.0145642    -0.116616   1.0935e+30       206000  -0.00169842   1.13446
     1.2e+06           70        5.175    0.0122058    -0.117343   1.0935e+30       206000  -0.00143227   1.22173
     1.2e+06           75        5.175    0.0109151    -0.116929   1.0935e+30       206000  -0.00127629     1.309
     1.2e+06           80        5.175    0.0106283      -0.1171   1.0935e+30       206000  -0.00124457   1.39626
     1.2e+06           85        5.175   0.00862886    -0.117377   1.0935e+30       206000  -0.00101283   1.48353
     1.2e+06           90        5.175   0.00507169    -0.117066   1.0935e+30       206000 -0.000593722    1.5708
     1.2e+06           10        10.35    0.0202237   -0.0542253   1.0935e+30       206000  -0.00109664  0.174533
     1.2e+06           15        10.35    0.0192322   -0.0896703   1.0935e+30       206000  -0.00172456  0.261799
     1.2e+06           20        10.35    0.0164806    -0.100407   1.0935e+30       206000  -0.00165476  0.349066
     1.2e+06           25        10.35    0.0170005    -0.103489   1.0935e+30       206000  -0.00175937  0.436332
     1.2e+06           30        10.35    0.0150982    -0.106808   1.0935e+30       206000  -0.00161261  0.523599
     1.2e+06           35        10.35    0.0153214    -0.108069   1.0935e+30       206000  -0.00165576  0.610865
     1.2e+06           40        10.35    0.0138965    -0.109307   1.0935e+30       206000  -0.00151899  0.698132
     1.2e+06           45        10.35    0.0125746    -0.109688   1.0935e+30       206000  -0.00137929  0.785398
     1.2e+06            5        10.35    0.0193945   -0.0159917   1.0935e+30       206000 -0.000310151  0.0872665
     1.2e+06           50        10.35    0.0113536    -0.110275   1.0935e+30       206000  -0.00125201  0.872665
     1.2e+06           55        10.35    0.0109036    -0.110631   1.0935e+30       206000  -0.00120627  0.959931
     1.2e+06           60        10.35   0.00985354    -0.110504   1.0935e+30       206000  -0.00108885    1.0472
     1.2e+06           65        10.35   0.00892252    -0.110683   1.0935e+30       206000 -0.000987575   1.13446
     1.2e+06           70        10.35   0.00746927    -0.111374   1.0935e+30       206000 -0.000831881   1.22173
     1.2e+06           75        10.35   0.00668613     -0.11098   1.0935e+30       206000  -0.00074203     1.309
     1.2e+06           80        10.35   0.00651922    -0.111142   1.0935e+30       206000  -0.00072456   1.39626
     1.2e+06           85        10.35    0.0052676    -0.111402   1.0935e+30       206000  -0.00058682   1.48353
     1.2e+06           90        10.35   0.00306464    -0.111115   1.0935e+30       206000 -0.000340528    1.5708
     1.2e+06           10        9.729    0.0208432   -0.0641176   1.0935e+30       206000  -0.00133641  0.174533
     1.2e+06           15        9.729    0.0198159    -0.106028   1.0935e+30       206000  -0.00210104  0.261799
     1.2e+06           20        9.729    0.0169721    -0.118725   1.0935e+30       206000  -0.00201502  0.349066
     1.2e+06           25        9.729    0.0174965     -0.12237   1.0935e+30       206000  -0.00214105  0.436332
     1.2e+06           30        9.729    0.0155274    -0.126295   1.0935e+30       206000  -0.00196103  0.523599
     1.2e+06           35        9.729     0.015725    -0.127785   1.0935e+30       206000  -0.00200942  0.610865
     1.2e+06           40        9.729    0.0142221    -0.129251   1.0935e+30       206000  -0.00183822  0.698132
     1.2e+06           45        9.729    0.0128327      -0.1297   1.0935e+30       206000   -0.0016644  0.785398
     1.2e+06            5        9.729     0.019989   -0.0189095   1.0935e+30       206000 -0.000377983  0.0872665
     1.2e+06           50        9.729    0.0115996    -0.130398   1.0935e+30       206000  -0.00151256  0.872665
     1.2e+06           55        9.729    0.0112432    -0.130818   1.0935e+30       206000  -0.00147081  0.959931
     1.2e+06           60        9.729    0.0103108    -0.130668   1.0935e+30       206000  -0.00134729    1.0472
     1.2e+06           65        9.729   0.00945382    -0.130875   1.0935e+30       206000  -0.00123727   1.13446
     1.2e+06           70        9.729    0.0079727    -0.131694   1.0935e+30       206000  -0.00104995   1.22173
     1.2e+06           75        9.729   0.00713828    -0.131229   1.0935e+30       206000  -0.00093675     1.309
     1.2e+06           80        9.729   0.00694969    -0.131421   1.0935e+30       206000 -0.000913333   1.39626
     1.2e+06           85        9.729   0.00561783    -0.131729   1.0935e+30       206000 -0.000740031   1.48353
     1.2e+06           90        9.729   0.00327607    -0.131387   1.0935e+30       206000 -0.000430434    1.5708
     1.2e+06           10        9.315    0.0212943   -0.0710507   1.0935e+30       206000  -0.00151297  0.174533
     1.2e+06           15        9.315    0.0202892    -0.117503   1.0935e+30       206000  -0.00238403  0.261799
     1.2e+06           20        9.315      0.01745    -0.131549   1.0935e+30       206000  -0.00229552  0.349066
     1.2e+06           25        9.315    0.0180803    -0.135589   1.0935e+30       206000  -0.00245149  0.436332
     1.2e+06           30        9.315     0.016117    -0.139927   1.0935e+30       206000  -0.00225521  0.523599
     1.2e+06           35        9.315    0.0163627    -0.141577   1.0935e+30       206000  -0.00231658  0.610865
     1.2e+06           40        9.315    0.0148034    -0.143202   1.0935e+30       206000  -0.00211986  0.698132
     1.2e+06           45        9.315    0.0133581      -0.1437   1.0935e+30       206000  -0.00191955  0.785398
     1.2e+06            5        9.315    0.0204177   -0.0209505   1.0935e+30       206000 -0.000427761  0.0872665
     1.2e+06           50        9.315    0.0120812    -0.144473   1.0935e+30       206000  -0.00174541  0.872665
     1.2e+06           55        9.315    0.0117276    -0.144938   1.0935e+30       206000  -0.00169977  0.959931
