#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.5e+06           10         2.07    0.0178027     0.192055   1.0935e+30       206000   0.00341912  0.174533
     1.5e+06           15         2.07    0.0167172     0.326875   1.0935e+30       206000   0.00546444  0.261799
     1.5e+06           20         2.07    0.0180261     0.360389   1.0935e+30       206000   0.00649639  0.349066
     1.5e+06           25         2.07    0.0186796     0.379345   1.0935e+30       206000   0.00708603  0.436332
     1.5e+06           30         2.07    0.0167347     0.388641   1.0935e+30       206000   0.00650379  0.523599
     1.5e+06           35         2.07    0.0169951     0.392631   1.0935e+30       206000   0.00667281  0.610865
     1.5e+06           40         2.07    0.0154835      0.39823   1.0935e+30       206000     0.006166  0.698132
     1.5e+06           45         2.07    0.0126846     0.400715   1.0935e+30       206000   0.00508293  0.785398
     1.5e+06            5         2.07    0.0157224    0.0568036   1.0935e+30       206000  0.000893089  0.0872665
     1.5e+06           50         2.07    0.0127758     0.401108   1.0935e+30       206000    0.0051245  0.872665
     1.5e+06           55         2.07    0.0117182     0.402359   1.0935e+30       206000   0.00471494  0.959931
     1.5e+06           60         2.07    0.0101257       0.4035   1.0935e+30       206000   0.00408571    1.0472
     1.5e+06           65         2.07   0.00813753     0.405233   1.0935e+30       206000    0.0032976   1.13446
     1.5e+06           70         2.07   0.00849724     0.405643   1.0935e+30       206000   0.00344685   1.22173
     1.5e+06           75         2.07   0.00721192     0.406078   1.0935e+30       206000    0.0029286     1.309
     1.5e+06           80         2.07   0.00659411     0.407001   1.0935e+30       206000   0.00268381   1.39626
     1.5e+06           85         2.07    0.0049651     0.407632   1.0935e+30       206000   0.00202393   1.48353
     1.5e+06           90         2.07   0.00333146     0.406842   1.0935e+30       206000   0.00135538    1.5708
     1.5e+06           10        2.484    0.0233272     0.159673   1.0935e+30       206000   0.00372474  0.174533
     1.5e+06           15        2.484    0.0217348     0.271732   1.0935e+30       206000   0.00590604  0.261799
     1.5e+06           20        2.484    0.0230722     0.299728   1.0935e+30       206000   0.00691538  0.349066
     1.5e+06           25        2.484    0.0235261     0.315547   1.0935e+30       206000   0.00742358  0.436332
     1.5e+06           30        2.484    0.0207997     0.323299   1.0935e+30       206000   0.00672452  0.523599
     1.5e+06           35        2.484    0.0209221     0.326619   1.0935e+30       206000   0.00683356  0.610865
     1.5e+06           40        2.484    0.0189549     0.331281   1.0935e+30       206000   0.00627942  0.698132
     1.5e+06           45        2.484    0.0154324     0.333348   1.0935e+30       206000   0.00514436  0.785398
     1.5e+06            5        2.484    0.0206169    0.0472545   1.0935e+30       206000   0.00097424  0.0872665
     1.5e+06           50        2.484     0.015442     0.333681   1.0935e+30       206000   0.00515271  0.872665
     1.5e+06           55        2.484     0.014067      0.33472   1.0935e+30       206000   0.00470852  0.959931
     1.5e+06           60        2.484    0.0120678     0.335665   1.0935e+30       206000   0.00405072    1.0472
     1.5e+06           65        2.484   0.00964046     0.337112   1.0935e+30       206000   0.00324992   1.13446
     1.5e+06           70        2.484   0.00997381      0.33745   1.0935e+30       206000   0.00336566   1.22173
     1.5e+06           75        2.484   0.00839107     0.337812   1.0935e+30       206000    0.0028346     1.309
     1.5e+06           80        2.484   0.00763093     0.338585   1.0935e+30       206000   0.00258372   1.39626
     1.5e+06           85        2.484   0.00573206     0.339106   1.0935e+30       206000   0.00194378   1.48353
     1.5e+06           90        2.484   0.00384472     0.338449   1.0935e+30       206000   0.00130124    1.5708
     1.5e+06           10        8.694    0.0239821    -0.070537   1.0935e+30       206000  -0.00169162  0.174533
