#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.7e+06           10         2.07    0.0165789    -0.294784   7.3695e+30       206000  -0.00488721  0.174533
     1.7e+06           15         2.07    0.0160187    -0.301942   7.3695e+30       206000   -0.0048367  0.261799
     1.7e+06           20         2.07    0.0148811    -0.296246   7.3695e+30       206000  -0.00440848  0.349066
     1.7e+06           25         2.07    0.0149423    -0.286508   7.3695e+30       206000  -0.00428109  0.436332
     1.7e+06           30         2.07    0.0147399    -0.277057   7.3695e+30       206000  -0.00408379  0.523599
     1.7e+06           35         2.07    0.0124496    -0.272854   7.3695e+30       206000  -0.00339693  0.610865
     1.7e+06           40         2.07    0.0117014    -0.272136   7.3695e+30       206000  -0.00318438  0.698132
     1.7e+06           45         2.07    0.0111015    -0.269501   7.3695e+30       206000  -0.00299188  0.785398
     1.7e+06            5         2.07    0.0159814    -0.207254   7.3695e+30       206000  -0.00331222  0.0872665
     1.7e+06           50         2.07   0.00909717    -0.270934   7.3695e+30       206000  -0.00246473  0.872665
     1.7e+06           55         2.07   0.00831297     -0.26551   7.3695e+30       206000  -0.00220718  0.959931
     1.7e+06           60         2.07   0.00713444    -0.272746   7.3695e+30       206000  -0.00194589    1.0472
     1.7e+06           65         2.07   0.00687193    -0.272818   7.3695e+30       206000  -0.00187479   1.13446
     1.7e+06           70         2.07    0.0054241    -0.278752   7.3695e+30       206000  -0.00151198   1.22173
     1.7e+06           75         2.07   0.00487654    -0.272301   7.3695e+30       206000  -0.00132789     1.309
     1.7e+06           80         2.07   0.00361557    -0.282122   7.3695e+30       206000  -0.00102003   1.39626
     1.7e+06           85         2.07   0.00365985    -0.283208   7.3695e+30       206000   -0.0010365   1.48353
     1.7e+06           90         2.07   0.00204584    -0.293294   7.3695e+30       206000 -0.000600033    1.5708
     1.7e+06           10        2.484    0.0164956    -0.208817   7.3695e+30       206000  -0.00344458  0.174533
     1.7e+06           15        2.484    0.0164436    -0.214547   7.3695e+30       206000  -0.00352793  0.261799
     1.7e+06           20        2.484    0.0160787    -0.211443   7.3695e+30       206000  -0.00339973  0.349066
     1.7e+06           25        2.484    0.0172033     -0.20508   7.3695e+30       206000  -0.00352805  0.436332
     1.7e+06           30        2.484    0.0176845    -0.198409   7.3695e+30       206000  -0.00350876  0.523599
     1.7e+06           35        2.484    0.0150912    -0.194912   7.3695e+30       206000  -0.00294147  0.610865
     1.7e+06           40        2.484    0.0140999    -0.192596   7.3695e+30       206000  -0.00271559  0.698132
     1.7e+06           45        2.484     0.013302    -0.191577   7.3695e+30       206000  -0.00254836  0.785398
     1.7e+06            5        2.484     0.015817    -0.153289   7.3695e+30       206000  -0.00242456  0.0872665
