#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
      900000           10         2.07    0.0149363    -0.333335   1.0935e+30       206000  -0.00497879  0.174533
      900000           15         2.07    0.0134821    -0.323729   1.0935e+30       206000  -0.00436455  0.261799
      900000           20         2.07     0.016241    -0.330128   1.0935e+30       206000  -0.00536162  0.349066
      900000           25         2.07     0.015046    -0.321553   1.0935e+30       206000  -0.00483809  0.436332
      900000           30         2.07    0.0164228    -0.304071   1.0935e+30       206000   -0.0049937  0.523599
      900000           35         2.07    0.0149118    -0.303343   1.0935e+30       206000  -0.00452338  0.610865
      900000           40         2.07    0.0154224    -0.307228   1.0935e+30       206000  -0.00473818  0.698132
      900000           45         2.07    0.0139177    -0.299599   1.0935e+30       206000  -0.00416972  0.785398
      900000            5         2.07    0.0157224     -0.20561   1.0935e+30       206000  -0.00323269  0.0872665
      900000           50         2.07    0.0133066    -0.299537   1.0935e+30       206000  -0.00398581  0.872665
      900000           55         2.07    0.0120291    -0.291735   1.0935e+30       206000   -0.0035093  0.959931
      900000           60         2.07    0.0101989    -0.299746   1.0935e+30       206000  -0.00305709    1.0472
      900000           65         2.07   0.00990862    -0.300597   1.0935e+30       206000   -0.0029785   1.13446
      900000           70         2.07   0.00757752    -0.304173   1.0935e+30       206000  -0.00230488   1.22173
      900000           75         2.07   0.00806831    -0.280825   1.0935e+30       206000  -0.00226579     1.309
      900000           80         2.07   0.00789242    -0.313333   1.0935e+30       206000  -0.00247296   1.39626
      900000           85         2.07   0.00712619    -0.303264   1.0935e+30       206000  -0.00216112   1.48353
      900000           90         2.07   0.00637008    -0.291681   1.0935e+30       206000  -0.00185803    1.5708
      900000           10        2.484     0.019586    -0.278581   1.0935e+30       206000  -0.00545629  0.174533
      900000           15        2.484    0.0176086    -0.275151   1.0935e+30       206000  -0.00484502  0.261799
      900000           20        2.484    0.0209853     -0.27697   1.0935e+30       206000  -0.00581229  0.349066
      900000           25        2.484    0.0191883    -0.270937   1.0935e+30       206000  -0.00519883  0.436332
      900000           30        2.484    0.0206287    -0.256655   1.0935e+30       206000  -0.00529446  0.523599
      900000           35        2.484     0.018508     -0.25335   1.0935e+30       206000    -0.004689  0.610865
      900000           40        2.484    0.0190038    -0.256406   1.0935e+30       206000  -0.00487268  0.698132
      900000           45        2.484      0.01706    -0.249893   1.0935e+30       206000  -0.00426317  0.785398
      900000            5        2.484    0.0206169    -0.179487   1.0935e+30       206000  -0.00370047  0.0872665
      900000           50        2.484    0.0162275    -0.248681   1.0935e+30       206000  -0.00403548  0.872665
